secondsTaken,numberOfWhites,numberOfBlacks,numberOfRobots,isClassical,consensusAlgorithm,percentageOfBlackTiles,decisionRule,byzantineSwarmStyle,numberOfByzantineRobots,id
476,10,0,10,1,pow,34,1,0,0,0
522,10,0,10,1,pow,34,1,0,0,0
618,10,0,10,1,pow,34,1,0,0,0
477,10,0,10,1,pow,34,1,0,0,0
491,10,0,10,1,pow,34,1,0,0,0
665,10,0,10,1,pow,34,1,0,0,0
513,10,0,10,1,pow,34,1,0,0,0
510,10,0,10,1,pow,34,1,0,0,0
404,10,0,10,1,pow,34,1,0,0,0
601,10,0,10,1,pow,34,1,0,0,0
807,10,0,10,0,poi,34,1,0,0,1
787,10,0,10,0,poi,34,1,0,0,1
821,10,0,10,0,poi,34,1,0,0,1
865,10,0,10,0,poi,34,1,0,0,1
822,10,0,10,0,poi,34,1,0,0,1
807,10,0,10,0,poi,34,1,0,0,1
660,0,10,10,0,poi,34,1,0,0,1
786,10,0,10,0,poi,34,1,0,0,1
805,10,0,10,0,poi,34,1,0,0,1
764,10,0,10,0,poi,34,1,0,0,1
1276,10,0,10,0,pow,34,1,0,0,2
731,10,0,10,0,pow,34,1,0,0,2
841,10,0,10,0,pow,34,1,0,0,2
1031,10,0,10,0,pow,34,1,0,0,2
876,10,0,10,0,pow,34,1,0,0,2
1155,0,10,0,0,pow,34,1,0,0,2
890,10,0,10,0,pow,34,1,0,0,2
925,10,0,10,0,pow,34,1,0,0,2
560,0,10,0,0,pow,34,1,0,0,2
1060,10,0,10,0,pow,34,1,0,0,2
395,10,0,10,1,pow,34,2,0,0,3
204,10,0,10,1,pow,34,2,0,0,3
580,10,0,10,1,pow,34,2,0,0,3
347,10,0,10,1,pow,34,2,0,0,3
146,10,0,10,1,pow,34,2,0,0,3
347,10,0,10,1,pow,34,2,0,0,3
392,10,0,10,1,pow,34,2,0,0,3
113,10,0,10,1,pow,34,2,0,0,3
274,10,0,10,1,pow,34,2,0,0,3
202,10,0,10,1,pow,34,2,0,0,3
225,10,0,10,0,pow,34,2,0,0,4
196,10,0,10,0,pow,34,2,0,0,4
316,10,0,10,0,pow,34,2,0,0,4
274,10,0,10,0,pow,34,2,0,0,4
729,10,0,10,0,pow,34,2,0,0,4
232,10,0,10,0,pow,34,2,0,0,4
716,10,0,10,0,pow,34,2,0,0,4
643,10,0,10,0,pow,34,2,0,0,4
446,10,0,10,0,pow,34,2,0,0,4
559,10,0,10,0,pow,34,2,0,0,4
302,10,0,10,0,poi,34,2,0,0,5
308,10,0,10,0,poi,34,2,0,0,5
466,10,0,10,0,poi,34,2,0,0,5
439,10,0,10,0,poi,34,2,0,0,5
308,10,0,10,0,poi,34,2,0,0,5
370,10,0,10,0,poi,34,2,0,0,5
284,10,0,10,0,poi,34,2,0,0,5
162,10,0,10,0,poi,34,2,0,0,5
380,10,0,10,0,poi,34,2,0,0,5
327,10,0,10,0,poi,34,2,0,0,5
538,10,0,10,1,poi,34,3,0,0,6
798,10,0,10,1,poi,34,3,0,0,6
402,0,10,10,1,poi,34,3,0,0,6
611,10,0,10,1,poi,34,3,0,0,6
631,10,0,10,1,poi,34,3,0,0,6
613,10,0,10,1,poi,34,3,0,0,6
643,10,0,10,1,poi,34,3,0,0,6
685,10,0,10,1,poi,34,3,0,0,6
305,0,10,10,1,poi,34,3,0,0,6
268,0,10,10,1,poi,34,3,0,0,6
771,10,0,10,0,poi,34,3,0,0,7
827,10,0,10,0,poi,34,3,0,0,7
680,10,0,10,0,poi,34,3,0,0,7
929,10,0,10,0,poi,34,3,0,0,7
701,10,0,10,0,poi,34,3,0,0,7
463,0,10,10,0,poi,34,3,0,0,7
695,10,0,10,0,poi,34,3,0,0,7
518,0,10,10,0,poi,34,3,0,0,7
569,0,10,10,0,poi,34,3,0,0,7
699,0,10,10,0,poi,34,3,0,0,7
